word_or_phrase,category,notes
testament to,phrase,"closure construction"
speaks to,phrase,"'which speaks to' abstract"
serves as,phrase,"'serves as a reminder'"
in the end,phrase,"summary framing"
at its core,phrase,"essayistic closure"
at the heart of,phrase,"abstract framing"
in a world where,phrase,"opening frame"
the essence of,phrase,"abstract"
a reminder that,phrase,"explicit moralizing"
a sense of,phrase,"abstract emotion"
weight of,phrase,"'weight of history,' 'weight of silence'"
the power of,phrase,"abstract framing"
palpable,adjective,"overused for atmosphere"
profound,adjective,"inflated register"
poignant,adjective,"tells reader what to feel"
bittersweet,adjective,"tells reader what to feel"
visceral,adjective,"overused"
haunting,adjective,"inflated"
evocative,adjective,"tells reader it's evocative"
understated,adjective,"self-congratulatory"
intricate,adjective,"filler"
delicate,adjective,"overused"
nuanced,adjective,"self-congratulatory"
quiet (before noun),adjective,"'quiet dignity,' 'quiet desperation'"
silent,adjective,"'silent understanding' etc."
unspoken,adjective,"'unspoken agreement'"
indelible,adjective,"inflated"
ineffable,adjective,"inflated"
timeless,adjective,"filler"
ever-present,adjective,"filler"
gentle,adjective,"overused softener"
soft,adjective,"overused softener"
meticulous,adjective,"inflated register"
strategic,adjective,"corporate register"
transformative,adjective,"inflated"
vibrant,adjective,"overused"
fragile,adjective,"overused"
warmly,adverb,"dialogue tag inflation"
gently,adverb,"dialogue tag inflation"
softly,adverb,"dialogue tag inflation"
quietly,adverb,"dialogue tag inflation"
tenderly,adverb,"dialogue tag inflation"
wistfully,adverb,"tells reader emotion"
knowingly,adverb,"tells reader emotion"
understandingly,adverb,"tells reader emotion"
sympathetically,adverb,"tells reader emotion"
meaningfully,adverb,"tells reader emotion"
pointedly,adverb,"tells reader emotion"
strategically,adverb,"corporate register"
furthermore,transition,"essayistic"
moreover,transition,"essayistic"
indeed,transition,"essayistic"
consequently,transition,"essayistic"
nevertheless,transition,"essayistic"
ultimately,transition,"summary framing"
in essence,transition,"essayistic"
in other words,transition,"essayistic"
that said,transition,"essayistic"
journey,metaphor_noun,"metaphorical journey"
path,metaphor_noun,"'her path,' metaphorical"
chapter,metaphor_noun,"'new chapter of her life'"
deep (adverb),intensifier,"'deep within,' 'deeply felt'"
truly,intensifier,"filler"
utterly,intensifier,"filler"
entirely,intensifier,"filler"
completely,intensifier,"filler"
simply,intensifier,"filler"
just (as filler),intensifier,"'just knew,' 'just stood there'"
rather,intensifier,"filler hedge"
somehow,intensifier,"filler vagueness"
barely,intensifier,"overused"
as if to say,construction,"attributes meaning to gesture"
as though,construction,"overused simile frame"
as if ___,construction,"overused simile frame"
with a mixture of,construction,"hedge for emotion"
a flicker of,construction,"'a flicker of' emotion"
a pang of,construction,"'a pang of' emotion"
a hint of,construction,"hedge"
a trace of,construction,"hedge"
a ghost of,construction,"'ghost of a smile'"
the faintest,construction,"'the faintest trace/hint'"
not quite,construction,"hedge"
something like,construction,"hedge for emotion"
a mix of ___ and ___,construction,"emotion hedge"
a blend of ___ and ___,construction,"emotion hedge"
torn between ___ and ___,construction,"binary emotion framing"
not just ___ but ___,construction,"oppositional/balance construction"
in that moment,construction,"summary framing"
for a long moment,construction,"time-dilation filler"
couldn't help but,construction,"essayistic closure in verb form"
something shifted,construction,"vague interior event"
something inside him,construction,"'something inside her/him' vague interior"
a silence fell between them,construction,"cliche scene beat"
